time (s)	det(V)
7043.314603	-0.328339	
7043.316286	-0.357263	
7043.317760	-0.398968	
7043.319336	-0.338547	
7043.320834	-0.350741	
7043.322468	-0.280874	
7043.323959	-0.348582	
7043.325566	-0.237682	
7043.327102	-0.272338	
7043.328668	-0.178361	
7043.330216	-0.220868	
7043.331700	-0.167420	
7043.333365	-0.194474	
7043.334850	-0.175320	
7043.336480	-0.132486	
7043.338010	-0.148455	
7043.339636	-0.102608	
7043.341110	-0.049064	
7043.342806	-0.028922	
7043.344286	-0.058607	
7043.345997	0.002559	
7043.347497	-0.040149	
7043.349207	0.050911	
7043.350691	-0.036165	
7043.352409	0.105914	
7043.353891	0.017552	
7043.355586	0.167261	
7043.357094	0.042032	
7043.358738	0.215472	
7043.360268	0.121701	
7043.361988	0.283691	
7043.363549	0.170971	
7043.365231	0.324583	
7043.366785	0.182613	
7043.368472	0.369744	
7043.370045	0.202710	
7043.371701	0.392609	
7043.373278	0.255167	
7043.374932	0.442004	
7043.376544	0.269862	
7043.378166	0.453541	
7043.379800	0.302016	
7043.381432	0.461050	
7043.383069	0.327374	
7043.384666	0.482783	
7043.386330	0.381414	
7043.387906	0.533548	
7043.389590	0.427631	
7043.391153	0.553831	
7043.392857	0.521177	
7043.394417	0.547828	
7043.396095	0.536219	
7043.397644	0.613248	
7043.399368	0.556356	
7043.400898	0.640685	
7043.402649	0.619259	
7043.404143	0.640371	
7043.405919	0.667808	
7043.407392	0.671442	
7043.409167	0.703402	
7043.410644	0.693029	
7043.412432	0.773644	
7043.413929	0.761265	
7043.415720	0.825134	
7043.417198	0.723149	
7043.418975	0.844220	
7043.420464	0.791497	
7043.422209	0.892278	
7043.423720	0.808767	
7043.425460	0.985614	
7043.426994	0.821935	
7043.428703	0.997212	
7043.430236	0.844301	
7043.431946	1.036866	
7043.433500	0.930821	
7043.435191	1.076171	
7043.436755	0.917713	
7043.438419	1.109352	
7043.440010	0.970125	
7043.441655	1.164294	
7043.443259	1.012020	
7043.444905	1.199325	
7043.446512	1.041628	
7043.448145	1.210286	
7043.449753	1.086197	
7043.451343	1.223176	
7043.453020	1.133856	
7043.454601	1.235696	
7043.456261	1.145426	
7043.457822	1.224518	
7043.459520	1.148391	
7043.461080	1.253405	
7043.462786	1.220602	
7043.464339	1.284274	
7043.466046	1.240482	
7043.467575	1.279182	
7043.469317	1.266996	
7043.470811	1.277841	
7043.472566	1.307457	
7043.474055	1.227152	
7043.475597	1.274481	
7043.477117	1.278634	
7043.478675	1.324823	
7043.480224	1.289793	
7043.481717	1.360957	
7043.483375	1.261458	
7043.484873	1.303569	
7043.486501	1.328186	
7043.488027	1.281917	
7043.489662	1.294179	
7043.491137	1.305817	
7043.492794	1.341589	
7043.494270	1.248531	
7043.495906	1.366923	
7043.497401	1.279029	
7043.499110	1.400708	
7043.500603	1.259250	
7043.502303	1.423017	
7043.503797	1.315796	
7043.505462	1.423948	
7043.506978	1.296572	
7043.508628	1.462104	
7043.510181	1.338350	
7043.511782	1.483478	
7043.513374	1.357928	
7043.514948	1.460666	
7043.516566	1.322253	
7043.518194	1.516458	
7043.519806	1.339132	
7043.521430	1.518936	
7043.523060	1.402497	
7043.524662	1.540733	
7043.526307	1.411033	
7043.527905	1.542481	
7043.529594	1.384257	
7043.531160	1.541643	
7043.532856	1.467099	
7043.534401	1.511048	
7043.536109	1.512011	
7043.537664	1.540427	
7043.539368	1.515532	
7043.540891	1.547114	
7043.542646	1.542461	
7043.544135	1.570373	
7043.545906	1.585052	
7043.547391	1.560826	
7043.549173	1.626556	
7043.550656	1.564319	
7043.552438	1.622238	
7043.553922	1.575743	
7043.555692	1.652591	
7043.557169	1.575163	
7043.558917	1.717624	
7043.560413	1.561463	
7043.562163	1.715236	
7043.563677	1.613073	
7043.565424	1.708827	
7043.566943	1.621235	
7043.568673	1.707892	
7043.570202	1.586756	
7043.571899	1.719880	
7043.573454	1.624333	
7043.575137	1.724154	
